P_NAME,P_MASS,P_PERIOD,P_SEMI_MAJOR_AXIS,S_DISTANCE,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,S_LUMINOSITY,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
11 Com b,6165.8633,326.03,1.29,93.37,2.7,19,4742,1.3244178,101.01141,799.44963,163.5468,0,0,0,0.083813263
11 UMi b,4684.7848,516.21997,1.53,125.72,2.78,29.79,4213,1.534896,107.35118,819.07569,250.49294,0,0,0,0.082414476
14 And b,1525.5744,185.84,0.83,75.59,2.2,11,4813,0.83,84.446427,772.30746,58.175144,0,0,0,0.081917127
14 Her b,1481.0785,1773.4,2.93,17.94,0.9,0.93,5338,3.1305585,0.078886561,131.38424,0.62917118,0,0,0,0.14524062
16 Cyg B b,565.73385,798.5,1.66,21.15,1.08,1.13,5750,2.043792,0.61897215,202.22783,1.2505956,1,1,0,0.36862709
18 Del b,3273.6284,993.3,2.6,76.38,2.3,8.5,4979,2.60832,5.9039479,396.65045,39.782769,0,0,0,0.21617437
1RXS J160929.1-210524 b,2542.624,,330,145,0.85,,4060,330,,,,0,0,0,
24 Boo b,289.22348,30.3506,0.19,96.25,0.99,10.64,4893,0.19016758,1611.9403,1613.7579,58.139697,0,0,0,0.065684936
24 Sex b,632.47773,452.8,1.333,72.21,1.54,4.9,5098,1.3383987,8.2108078,430.60546,14.530486,0,0,0,0.17730446
24 Sex c,273.33208,883,2.08,72.21,1.54,4.9,5098,2.167464,3.5093722,343.04216,14.530486,0,0,0,0.2724776
2MASS J01225093-2439505 b,7786.7861,,52,36,0.4,,3530,52,,,,0,0,0,
2MASS J02192210-3925225 b,4417.8092,,156,39.4,0.11,0.28,3064,156,2.54E-07,5.7216666,0.006190985,0,0,0,0.056530021
2MASS J04414489+2301513 b,2383.71,,15,140,0.02,,,15,,,,0,0,0,
2MASS J12073346-3932539 b,1271.312,,46,64.42,0.02,,,46,,,,0,0,0,
2MASS J19383260+4603591 b,603.87321,416,0.92,400.77,0.48,,,0.92,,,,0,0,0,
2MASS J21402931+1625183 A b,6658.4967,7336.5,,25,0.08,0.12,2300,3.2908045,3.69E-05,19.598998,0.000361046,0,0,0,0.084157251
2MASS J22362452+4751425 b,3972.85,,230,74,0.6,,4045,230,,,,0,0,0,
30 Ari B b,4392.383,335.10001,0.99,44.71,1.93,1.41,6331,1.0316295,3.050856,331.24213,2.8616474,0,0,0,0.30089651
4 UMa b,2256.5788,269.3,0.87,73.58,1.23,18.11,4415,0.95118144,163.55514,877.01545,111.64734,0,0,0,0.076992961
42 Dra b,1233.1727,479.1,1.19,90.86,0.98,22.03,4200,1.275918,103.29647,789.07763,135.3053,0,0,0,0.07908401
47 UMa b,804.10485,1078,2.1,13.8,1.03,1.23,5892,2.1010752,0.37062414,198.7444,1.6336154,1,1,0,0.31106267
47 UMa c,171.62712,2391,3.6,13.8,1.03,1.23,5892,3.6172872,0.12666026,151.71194,1.6336154,0,0,0,0.17714066
47 UMa d,521.23792,14002,11.6,13.8,1.03,1.23,5892,11.74848,0.01229887,84.431345,1.6336154,0,0,0,0.079493064
51 Eri b,,11688,12,29.4,1.75,,,13.215,,,,0,0,0,
51 Peg b,150.01482,4.230785,0.0527,15.47,1.12,1.2,5793,0.052704453,523.21565,1218.432,1.4529988,0,0,0,0.065394653
55 Cnc b,263.98794,14.65152,0.115227,12.59,0.91,0.94,5196,0.11522767,43.462522,654.14301,0.57705994,0,0,0,0.088599759
55 Cnc c,54.47572,44.4175,0.241376,12.59,0.91,0.94,5196,0.24142428,9.9064859,451.95192,0.57705994,0,0,0,0.19669217
55 Cnc d,1232.537,4825,5.503,12.59,0.91,0.94,5196,5.5039933,0.019059008,94.654352,0.57705994,0,0,0,0.08875056
55 Cnc e,8.0791878,0.736539,0.01544,12.59,0.91,0.94,5196,0.01544,2420.6184,1787.008,0.57705994,0,0,0,0.2598972
55 Cnc f,44.813748,262,0.788,12.59,0.91,0.94,5196,0.82465185,0.97582251,248.65483,0.57705994,1,1,0,0.45748768
6 Lyn b,638.83429,934.3,2.11,54.74,1.44,5.2,4938,2.1156221,3.244106,341.57316,14.404549,0,0,0,0.28576359
61 Vir b,5.085248,4.215,0.050201,8.51,0.94,0.96,5577,0.050562447,319.27036,1074.0012,0.79879197,0,0,0,0.25355145
61 Vir c,18.116196,38.021,0.2175,8.51,0.94,0.96,5577,0.2196315,17.0535,515.80897,0.79879197,0,0,0,0.22814035
61 Vir d,22.883616,123.01,0.476,8.51,0.94,0.96,5577,0.505155,3.7635373,346.34605,0.79879197,0,0,0,0.37195088
7 CMa b,781.85689,796,1.93,19.82,1.52,2.3,4792,1.976706,0.68781196,229.87309,2.4992607,1,1,0,0.37834721
70 Vir b,2357.0125,116.688,0.481,17.91,1.09,1.89,5495,0.51924947,13.753258,475.14878,2.9179849,0,0,0,0.14126541
75 Cet b,953.48401,691.9,2.1,83.15,2.49,10.5,4846,2.1143734,12.438138,477.2133,54.475457,0,0,0,0.14524422
8 UMi b,416.35468,93.4,0.49,163.32,1.44,10.3,4847,0.490882,218.9002,979.29341,52.463248,0,0,0,0.070820113
81 Cet b,1684.4884,952.7,2.5,101.53,2.4,11,4785,2.553045,9.2926133,441.22513,56.833158,0,0,0,0.16929368
91 Aqr b,1017.0496,181.4,0.7,44.08,1.4,11,4665,0.70025515,104.81969,815.07247,51.342925,0,0,0,0.078414548
AB Pic b,4290.678,,260,50.12,,,,260,,,,0,0,0,
BD+03 2562 b,2034.0992,481.9,1.3,2618,1.14,32.35,4095,1.326,159.23206,898.12947,263.66522,0,0,0,0.076881824
BD+14 4559 b,330.54112,268.94,0.78,49.42,0.49,0.86,4864,0.812799,0.63701048,223.9117,0.37090255,1,1,0,0.3690268
BD+15 2375 b,337.21551,153.22,0.576,774,1.08,8.95,4649,0.57600029,101.0481,807.74977,33.525318,0,0,0,0.075857
BD+15 2940 b,352.78908,137.48,0.539,431.61,1.1,14.7,4796,0.5572182,365.14163,1099.2378,102.43303,0,0,0,0.068451851
BD+20 2457 b,17668.059,379.63,1.05,1670.85,10.83,71.02,4259,1.0618125,1364.0917,1541.7216,1486.8958,0,0,0,0.077113291
BD+20 2457 c,3963.3152,621.99,2.01,1670.85,10.83,71.02,4259,2.042562,374.14548,1113.6017,1486.8958,0,0,0,0.074902725
BD+20 274 b,1334.8776,578.2,1.3,1383.85,0.8,17.3,4296,1.328665,55.277069,688.84477,91.335149,0,0,0,0.087983596
BD+20 594 b,22.24796,41.6855,,180.39,1.67,1.08,5766,0.27908623,14.830572,499.95899,1.1551402,0,0,0,0.30796205
BD+48 738 b,289.22348,392.6,1,892.17,0.74,11,4414,1.02,42.001782,643.64774,41.153174,0,0,0,0.089639787
BD+48 740 b,540.3076,733,1.7,678.94,1.09,10.33,4534,2.19096,21.51075,471.51405,40.403162,0,0,0,0.11328601
BD+49 828 b,508.5248,2590,4.2,447.59,1.52,7.6,4943,4.45725,1.869632,290.77041,30.894294,0,0,0,0.35395377
BD-06 1339 b,8.5813561,3.8728,0.0428,20.28,0.7,,4324,0.0428,59.571932,707.79148,0.10912625,0,0,0,0.23577592
BD-06 1339 c,54.03076,125.94,0.435,20.28,0.7,,4324,0.45590175,0.6065834,220.65029,0.10912625,1,1,0,0.41593589
BD-08 2823 b,12.71312,5.6,0.06,41.38,0.5,0.71,4816,0.060675,68.263786,729.1933,0.24296922,0,0,0,0.20503107
BD-08 2823 c,104.88324,237.6,0.68,41.38,0.5,0.71,4816,0.692274,0.53520165,216.41573,0.24296922,1,1,0,0.36057653
BD-10 3166 b,187.51852,3.48777,0.04,84.61,1.47,0.91,5393,0.040008,392.33767,1133.7762,0.62761471,0,0,0,0.06663348
BD-11 4672 b,168.44884,1667,2.28,27.3,0.57,0.52,4475,2.28285,0.018712911,94.183848,0.097155523,0,0,0,0.083110123
BD-13 2130 b,3108.3579,714.29999,1.66,948.75,2.12,19.17,4545,1.696603,52.149004,678.88563,140.49744,0,0,0,0.091453244
BD-17 63 b,905.80981,655.59998,1.34,34.49,0.31,0.74,4665,1.535372,0.15374812,149.79878,0.23235856,0,0,0,0.20149258
CFBDSIR J145829+101343 b,3337.194,10037.5,2.6,23.1,0.02,,580.5,2.6,1.57E-07,5.0703749,1.06E-06,0,0,0,0.071553799
CHXR 73 b,3994.7802,,210,191.05,0.35,,,210,,,,0,0,0,
CI Tau b,3686.8048,8.9891,,158,0.9,,,0.084223218,,,,0,0,0,
CT Cha b,5403.076,,440,165,,,,440,,,,0,0,0,
CoRoT-1 b,327.36284,1.5089557,,805.31,0.95,1.11,5950,0.025304732,2160.7225,1736.9794,1.3835742,0,0,0,0.055287801
CoRoT-10 b,874.02701,13.2406,0.1055,345,0.89,0.79,5075,0.12031747,39.299539,600.56763,0.37092578,0,0,0,0.10705569
CoRoT-11 b,740.53925,2.99433,0.0436,560,1.27,1.37,6440,0.0436,1521.5992,1591.1824,2.8924992,0,0,0,0.057585358
CoRoT-12 b,291.44828,2.828042,0.04016,1150,1.08,1.12,5675,0.040258392,724.54837,1320.5715,1.1657036,0,0,0,0.057989717
CoRoT-13 b,415.71903,4.03519,0.051,1060,1.09,1.01,5945,0.051,438.93325,1166.1235,1.1416654,0,0,0,0.089452023
CoRoT-14 b,2415.4928,1.51214,0.027,1340,1.13,1.21,6035,0.027,2386.937,1780.759,1.7400771,0,0,0,0.073010313
CoRoT-16 b,170.03798,5.35227,0.0618,840,1.1,1.19,5650,0.06516501,358.62139,1085.1728,1.292934,0,0,0,0.071126858
CoRoT-17 b,772.32205,3.7681,0.0461,920,1.04,1.59,5740,0.0461,1156.9874,1485.8572,2.4588411,0,0,0,0.077848461
CoRoT-18 b,1102.8632,1.9000693,0.0295,870,0.95,1,5440,0.0295944,904.55384,1395.5035,0.78466493,0,0,0,0.062762778
CoRoT-19 b,352.78908,3.89713,0.0518,770,1.21,1.65,6090,0.051857213,1251.833,1514.7866,3.3552563,0,0,0,0.063296681
CoRoT-2 b,1102.8632,1.7429935,0.02798,200,0.96,0.91,5625,0.027982861,948.87833,1413.9397,0.74278229,0,0,0,0.056730355
CoRoT-20 b,1366.6604,9.24285,0.09,864.31,1.14,,,0.1056645,,,,0,0,0,
CoRoT-20 c,5403.076,1675,2.9,864.31,1.14,,,3.422,,,,0,0,0,
CoRoT-21 b,718.29129,2.72474,0.0417,1398.83,1.29,1.95,6200,0.0417,2895.0263,1868.7794,5.0341323,0,0,0,0.062381207
CoRoT-22 b,12.077464,9.75598,0.092,592,1.1,1.14,5939,0.092272734,171.65928,921.14439,1.4486106,0,0,0,0.15972958
CoRoT-23 b,889.91841,3.6313,0.048,600,1.14,1.61,5900,0.0486144,1237.3636,1503.7019,2.8141578,0,0,0,0.075857806
CoRoT-24 b,5.7209041,5.1134,0.056,600,0.91,0.86,4950,0.056,126.86163,855.02238,0.39783807,0,0,0,0.19411491
CoRoT-24 c,27.968864,11.759,0.098,600,0.91,0.86,4950,0.098,41.424206,646.33617,0.39783807,0,0,0,0.17922871
CoRoT-25 b,85.813561,4.86069,0.0578,1000,1.09,1.19,6040,0.0578,505.44586,1207.9906,1.6886138,0,0,0,0.075279299
CoRoT-26 b,165.27056,4.20474,0.0526,1670,1.09,1.79,5590,0.0526,1013.1423,1437.35,2.8031216,0,0,0,0.064832669
CoRoT-27 b,3302.233,3.57532,0.0476,1035.15,1.05,1.08,5900,0.047700555,560.07952,1238.4049,1.2663222,0,0,0,0.079710894
CoRoT-28 b,153.82875,5.20851,0.0603,560,1.01,1.78,5150,0.060366601,549.79799,1233.1493,1.9969057,0,0,0,0.083423344
CoRoT-29 b,270.1538,2.85057,0.0386,765,0.97,0.9,5260,0.038729773,374.11667,1119.0451,0.55554167,0,0,0,0.088633847
CoRoT-3 b,6884.1545,4.2568,,680,1.37,1.56,6740,0.057078415,1381.127,1553.1139,4.4996365,0,0,0,0.078362194
CoRoT-4 b,228.83616,9.20205,0.09,741.6,1.16,1.17,6190,0.09,222.29922,983.73788,1.8006237,0,0,0,0.071916717
CoRoT-5 b,148.42568,4.0378962,0.04947,904.65,1,1.19,6100,0.049670354,720.74916,1318.0415,1.7567174,0,0,0,0.059920464
CoRoT-6 b,940.77089,8.886593,0.0855,657.24,1.05,1.02,6090,0.0859275,176.28215,926.57211,1.282207,0,0,0,0.074394253
CoRoT-7 b,3.17828,0.85359163,,160.64,0.82,0.83,5275,0.016479635,1759.7036,1650.0792,0.47789742,0,0,0,0.2711924
CoRoT-7 c,8.4001941,3.698,0.046,160.64,0.82,0.83,5275,0.046,225.84944,987.64226,0.47789742,0,0,0,0.22191743
CoRoT-8 b,69.922161,6.21229,0.063,380,0.88,0.77,5080,0.063,89.134092,782.80911,0.35377321,0,0,0,0.13742542
CoRoT-9 b,266.97552,95.272656,0.4021,417.89,0.96,0.96,5625,0.40565637,5.158561,382.67119,0.82664914,0,0,0,0.2348433
CoRoTID 223977153 b,47.6742,6.71837,0.071,586.2,1.08,0.79,5970,0.071,140.90404,877.75998,0.71029728,0,0,0,0.13283036
DE CVn b,3823.2484,4098.1,5.75,30.55,0.51,,,5.75,,,,0,0,0,
DENIS-P J082303.1-491201 b,9058.0981,246.36,0.36,20.77,0.07,,,0.3814245,,,,0,0,0,
DH Tau b,3496.108,,330,140,0.33,0.27,,330,,,,0,0,0,
DP Leo b,1922.8594,10220,8.19,305.06,,0.01,13500,8.8128495,4.82E-05,20.587384,0.002975937,0,0,0,0.070085617
DS Tuc A b,,8.138268,,44.12,1.01,0.96,5428,0.079427582,113.61817,831.7769,0.71678757,0,0,0,0.14622437
EPIC 201238110 b,,28.1656,,159.98,0.41,,,0.13456027,,,,0,0,0,
EPIC 201497682 b,,2.13174,,254.88,0.78,,,0.029833021,,,,0,0,0,
EPIC 201615463 c,,3.80464,,481,1.07,,,0.048773043,,,,0,0,0,
EPIC 201754305 d,,2.71578,,338.19,0.67,,,0.033327101,,,,0,0,0,
EPIC 201833600 c,,3.96151,,259.33,0.61,,,0.041545756,,,,0,0,0,
EPIC 201841433 b,,4.16959,,441.94,0.8,,,0.047054567,,,,0,0,0,
EPIC 205950854 c,,8.050722,,245.56,0.88,0.83,5502.7,0.075317114,99.761011,805.16543,0.56591105,0,0,0,0.30040596
EPIC 206024342 b,,4.50756,,373.81,0.93,,,0.052115256,,,,0,0,0,
EPIC 206032309 b,,2.87814,,162.09,0.22,,,0.023899659,,,,0,0,0,
EPIC 206042996 b,,5.29711,,457.27,0.56,,,0.049007764,,,,0,0,0,
EPIC 206215704 b,,2.25372,,110.22,0.41,,,0.024986426,,,,0,0,0,
EPIC 206317286 b,,1.58252,,317.2,0.71,,,0.023704372,,,,0,0,0,
EPIC 211822797 b,,21.169861,0.131,187.19,0.66,0.57,4148.21,0.1312358,5.0317823,381.31313,0.086194845,0,0,0,0.47295382
EPIC 211945201 b,,19.49221,0.1493,182.69,1.17,1.39,6069,0.1493,105.35792,816.22841,2.3484796,0,0,0,0.14598589
EPIC 212297394 b,,2.28943,,423.35,0.83,,,0.031941391,,,,0,0,0,
EPIC 212424622 b,,18.0983,,622.67,1.11,,,0.13965047,,,,0,0,0,
EPIC 212499991 b,,34.885,,285.61,0.91,,,0.20243356,,,,0,0,0,
EPIC 212587672 b,,15.2841,,322.88,0.95,,,0.11846153,,,,0,0,0,
EPIC 212737443 b,,13.603,0.098,347.45,0.69,0.67,4684,0.09996,20.573967,538.46915,0.1936002,0,0,0,0.28611074
EPIC 212737443 c,,65.55,0.28,347.45,0.69,0.67,4684,0.2856,2.5203109,318.56264,0.1936002,0,0,0,0.55484659
EPIC 220554210 c,,0.70531,,502.28,0.94,,,0.015187007,,,,0,0,0,
EPIC 220674823 b,,0.571331,0.0134,246.1,0.97,0.98,5617,0.0134,4770.3352,2117.2987,0.85656139,0,0,0,0.264088
EPIC 220674823 c,,13.339079,0.1091,246.1,0.97,0.98,5617,0.1091,71.962956,742.03119,0.85656139,0,0,0,0.23785034
EPIC 246851721 b,953.48401,6.180235,0.07229,336.7,1.32,1.59,6202,0.07229,641.28856,1282.0598,3.351274,0,0,0,0.07660444
EPIC 246865365 b,,3.38628,,,1.09,1.24,6100,0.045408131,925.09025,1405.0473,1.9074421,0,0,0,0.088231145
EPIC 248847494 b,4131.764,3650,4.5,560,0.9,2.7,4898,4.5,0.18563774,167.22896,3.7591642,0,0,0,0.22658077
FU Tau b,5085.248,,800,140,0.05,,2838,800,,,,0,0,0,
Fomalhaut b,,555530,160,7.7,1.92,,,220.552,,,,0,0,0,
GJ 1132 b,1.6590622,1.628931,0.0153,12.62,0.18,0.21,3270,0.01567026,19.78373,532.3506,0.004517709,0,0,0,0.35877177
GJ 1132 c,2.6411507,8.929,0.0476,12.62,0.18,0.21,3270,0.04933502,2.0708138,301.33711,0.004517709,0,0,0,0.72328994
GJ 1148 b,96.69917,41.38,0.166,11.02,0.35,0.4,3264,0.1779852,0.63834824,221.23955,0.016270812,1,1,0,0.38216808
GJ 1148 c,68.059689,532.58,0.912,11.02,0.35,0.4,3264,0.96533558,0.020817585,94.562916,0.016270812,0,0,0,0.11079477
GJ 1214 b,6.2612117,1.5804046,0.01411,14.65,0.15,0.22,3026,0.01411,18.262309,526.66424,0.003635881,0,0,0,0.28108586
GJ 1265 b,7.3990359,3.6511,0.026,10.26,0.18,0.19,3236,0.0260208,5.2508658,385.5425,0.003546745,0,0,0,0.42395713
GJ 143 b,22.699276,35.61253,0.1915,16.33,0.73,0.69,4640,0.19488419,5.4895274,387.35278,0.19772371,0,0,0,0.41786258
GJ 163 b,10.599564,8.63182,0.0607,15.14,0.4,0.382,3500,0.060861735,5.3391293,386.88117,0.019619483,0,0,0,0.3882952
GJ 163 c,6.8015193,25.63058,0.1254,15.14,0.4,0.382,3500,0.12601452,1.2538086,269.09231,0.019619483,1,0,2,0.68670545
GJ 163 d,29.39909,603.95116,1.0304,15.14,0.4,0.382,3500,1.1020793,0.019916215,93.086873,0.019619483,0,0,0,0.15474439
GJ 179 b,260.61896,2288,2.41,12.36,0.36,0.38,3370,2.4631405,0.002938564,58.81917,0.016686892,0,0,0,0.067884657
GJ 273 b,2.8890565,18.6498,0.091101,3.8,0.29,0.29,3382,0.091556505,1.1937549,265.80058,0.009857779,1,0,1,0.84342178
GJ 273 c,1.1791419,4.7234,0.036467,3.8,0.29,0.29,3382,0.036993948,7.5222369,419.61315,0.009857779,0,0,0,0.45850136
GJ 3021 b,1071.0804,133.71,0.49,17.56,0.9,0.9,5540,0.55397465,3.3123323,325.16469,0.6836168,0,0,0,0.28477569
GJ 3138 b,1.7798368,1.22003,0.0197,28.49,0.68,0.5,3717,0.020055585,112.21488,823.51608,0.04275618,0,0,0,0.30283713
GJ 3138 c,4.1794382,5.974,0.057,28.49,0.68,0.5,3717,0.05734485,13.240144,484.87267,0.04275618,0,0,0,0.35515277
GJ 3138 d,10.501037,257.8,0.698,28.49,0.68,0.5,3717,0.7337376,0.092628927,137.75525,0.04275618,0,0,0,0.30452358
GJ 317 b,794.57001,692,1.15,15.1,0.42,,3510,1.1569575,,,,0,0,0,
GJ 317 c,489.45512,5312,,15.1,0.42,,3510,4.6725855,,,,0,0,0,
GJ 328 b,731.00441,4100,4.5,20.54,0.69,,3900,4.808025,,,,0,0,0,
GJ 3293 b,23.538342,30.5987,0.14339,20.2,0.42,0.4,3466,0.1436481,1.008018,255.10464,0.020688207,1,0,0,0.52122719
GJ 3293 c,21.091066,122.6196,0.36175,20.2,0.42,0.4,3466,0.36393859,0.15905572,160.5247,0.020688207,0,0,0,0.30684382
GJ 3293 d,7.5992676,48.1345,0.19394,20.2,0.42,0.4,3466,0.19533637,0.55403568,219.20455,0.020688207,1,1,2,0.61973842
GJ 3293 e,3.279985,13.2543,0.08208,20.2,0.42,0.4,3466,0.083889864,3.140812,336.3145,0.020688207,0,0,0,0.59736812
GJ 3323 b,2.0213861,5.3636,0.03282,5.32,0.16,0.12,3159,0.033688089,1.2256729,265.35756,0.001284842,1,0,1,0.89839814
GJ 3323 c,2.3106096,40.54,0.1264,5.32,0.16,0.12,3159,0.12822648,0.081606268,135.42324,0.001284842,0,0,0,0.39157817
GJ 3341 b,6.6108225,14.207,0.089,23.16,0.47,0.44,3526,0.09327645,3.5602707,343.44139,0.026811631,0,0,0,0.50351493
GJ 3470 b,13.898619,3.3366496,0.0355,29.45,0.54,0.55,3600,0.0355,36.121629,624.57808,0.045522282,0,0,0,0.19183894
GJ 357 b,1.8402241,3.93072,0.035,9.44,0.34,0.34,3505,0.035,12.760347,481.51579,0.015631425,0,0,0,0.3915561
GJ 357 c,3.4007596,9.1247,0.061,9.44,0.34,0.34,3505,0.061,4.2008667,364.73684,0.015631425,0,0,0,0.53064379
GJ 357 d,6.0991194,55.661,0.204,9.44,0.34,0.34,3505,0.204,0.37561094,199.4479,0.015631425,1,1,2,0.57128654
GJ 3634 b,8.2635281,2.64561,0.0287,19.8,0.45,0.43,,0.02879184,,,,0,0,0,
GJ 3779 b,7.9997308,3.0232,0.026,13.75,0.27,0.28,3324,0.0260637,12.716533,480.6592,0.008575289,0,0,0,0.31171787
GJ 3942 b,7.1384169,6.905,0.0608,16.94,0.63,0.61,3867,0.061245086,20.316112,539.3931,0.074549546,0,0,0,0.28767606
GJ 3998 b,2.4695236,2.64977,0.029,18.16,0.5,0.49,3722,0.029,49.08969,674.36105,0.041284429,0,0,0,0.31195279
GJ 3998 c,6.2612117,13.74,0.089,18.16,0.5,0.49,3722,0.089106844,5.2182907,384.88524,0.041284429,0,0,0,0.44009772
GJ 411 b,2.9907615,12.9532,0.0785,2.55,0.39,0.39,3563,0.0803997,3.6535463,348.97906,0.021962468,0,0,0,0.56962921
GJ 4276 b,16.568374,13.352,0.082,21.35,0.41,0.41,3387,0.0876129,3.1729183,330.86988,0.019820616,0,0,0,0.42906097
GJ 433 b,6.3565601,7.3709,0.06,9.07,0.59,0.5,3461,0.060192,8.9562614,440.20403,0.032139199,0,0,0,0.36422091
GJ 436 b,22.24796,2.6438831,0.0291,9.76,0.47,0.46,,0.029378176,,,,0,0,0,
GJ 504 b,1271.312,,43.5,17.54,1.22,,6234,43.5,0.000599428,39.863842,1.1342674,0,0,0,0.069554746
GJ 536 b,5.3585801,8.7076,0.06661,10.41,0.52,0.5,3685,0.066823152,9.3388622,444.83179,0.041302717,0,0,0,0.37267725
GJ 581 b,15.2,5.368,0.041000001,6.3,0.32300001,0.29899999,3498,0.041009923,7.1358813,416.35844,0.011992514,0,0,0,0.318045
GJ 581 c,5.652,12.919,0.074000001,6.3,0.32300001,0.29899999,3498,0.074280054,2.1983489,309.77811,0.011992514,0,0,0,0.6211458
GJ 581 e,1.657,3.1530001,0.028999999,6.3,0.32300001,0.29899999,3498,0.029226562,14.372555,494.59254,0.011992514,0,0,0,0.38264987
GJ 625 b,2.8191344,14.628,0.078361,6.49,0.3,0.31,3499,0.07902315,2.1197713,306.42984,0.012905885,0,0,0,0.71078019
GJ 649 b,104.24758,598.3,1.135,10.38,0.54,,3700,1.186075,,,,0,0,0,
GJ 667 C b,5.7209041,7.2004,0.0505,6.8,0.33,,3350,0.050926725,8.2243202,430.0647,0.020796086,0,0,0,0.38258998
GJ 667 C c,3.813936,28.14,0.125,6.8,0.33,,3350,0.125025,1.3312158,273.63677,0.020796086,1,0,1,0.77796153
GJ 667 C e,2.542624,62.24,0.213,6.8,0.33,,3350,0.2130426,0.45846827,209.62335,0.020796086,1,1,1,0.71219407
GJ 667 C f,2.542624,39.026,0.156,6.8,0.33,,3350,0.1560702,0.85492484,244.93653,0.020796086,1,1,1,0.86977617
GJ 667 C g,4.449592,256.2,0.549,6.8,0.33,,3350,0.5507568,0.069219926,130.52091,0.020796086,0,0,0,0.34385546
GJ 674 b,11.12398,4.6938,0.039,4.55,0.35,,3600,0.03978,,,,0,0,0,
GJ 676 A b,1576.4269,1056.8001,1.82,16.03,0.73,0.69,3734,1.919099,0.026520279,100.6316,0.082924733,0,0,0,0.096945248
GJ 676 A c,2161.2304,7337,6.6,16.03,0.73,0.69,3734,6.6,0.00190369,53.216213,0.082924733,0,0,0,0.07239586
GJ 676 A d,4.449592,3.6005,,16.03,0.73,0.69,3734,0.042807002,50.165845,669.09551,0.082924733,0,0,0,0.28355303
GJ 676 A e,7.9457001,35.39,,16.03,0.73,0.69,3734,0.19138915,2.3175476,313.41605,0.082924733,0,0,0,0.56751232
GJ 685 b,9.000889,24.16,0.1344,14.32,0.55,0.54,3816,0.1344,3.0669811,337.14963,0.055399983,0,0,0,0.49911126
GJ 687 b,19.06968,38.14,0.17,4.55,0.45,0.43,3340,0.170136,0.71393931,234.11533,0.020616333,1,1,0,0.53089782
GJ 832 b,216.12304,3657,3.56,4.97,0.45,,3472,3.571392,0.002531128,57.075646,0.031975683,0,0,0,0.066974826
GJ 832 c,5.403076,35.68,0.163,4.97,0.45,,3472,0.1656406,1.2234795,266.29863,0.031975683,1,0,2,0.72779088
GJ 849 b,317.828,1882,2.35,8.8,0.65,0.53,3241,2.35188,0.005032323,67.835442,0.027768761,0,0,0,0.070609125
GJ 86 b,1404.7998,15.76491,0.11,10.79,0.93,0.77,5182,0.110088,31.682692,604.25472,0.38305376,0,0,0,0.10161138
GJ 876 b,723.2494,61.1166,0.208317,4.68,0.32,0.3,,0.20842634,,,,0,0,0,
GJ 876 c,226.99276,30.0881,0.12959,4.68,0.32,0.3,,0.13383342,,,,0,0,0,
GJ 876 d,6.6743881,1.93778,0.020807,4.68,0.32,0.3,,0.02125278,,,,0,0,0,
GJ 876 e,14.620088,124.26,0.3343,4.68,0.32,0.3,,0.33480563,,,,0,0,0,
GJ 96 b,19.66084,73.94,0.291,11.94,0.6,,3785,0.3191688,,,,0,0,0,
GJ 9827 b,4.9104426,1.2089819,0.0188,29.69,0.61,0.6,4340,0.0188,323.76833,1080.6959,0.11443268,0,0,0,0.2794649
GJ 9827 c,0.83906593,3.6480957,0.03925,29.69,0.61,0.6,4340,0.03925,74.279803,747.93283,0.11443268,0,0,0,0.30738876
GJ 9827 d,4.0395939,6.2014698,0.05591,29.69,0.61,0.6,4340,0.05591,36.607585,626.66823,0.11443268,0,0,0,0.28929095
GQ Lup b,6356.5601,,100,151.82,0.7,,,100,,,,0,0,0,
GSC 06214-00210 b,5085.248,,320,145,0.9,,4200,320,,,,0,0,0,
GU Psc b,3591.4564,,2000,48,0.33,,,2000,,,,0,0,0,
Gl 378 b,13.021413,3.822,0.039435,14.96,0.56,0.56,3879,0.039669264,41.150537,643.82288,0.063612698,0,0,0,0.2146175
Gl 49 b,5.6287339,13.8508,0.0905,9.86,0.52,0.51,3805,0.096462547,6.4007791,394.75053,0.048848096,0,0,0,0.41757765
Gl 686 b,6.639427,15.5314,0.0917,8.16,0.42,0.42,3663,0.091971845,3.39381,345.4083,0.028453448,0,0,0,0.51240568
HAT-P-1 b,166.8597,4.4652998,0.05561,159.71,1.15,1.17,5980,0.05561,507.17673,1209.0235,1.5684299,0,0,0,0.063301959
HAT-P-11 b,23.398498,4.8878024,0.05254,37.81,0.81,0.68,4780,0.053788455,80.280654,755.69713,0.21628085,0,0,0,0.18011769
HAT-P-11 c,506.99605,3407,4.13,37.81,0.81,0.68,4780,4.8758801,0.015864845,83.365778,0.21628085,0,0,0,0.0830892
HAT-P-12 b,67.061709,3.2130598,0.0384,142.5,0.73,0.7,4650,0.0384,139.19835,875.09143,0.20525632,0,0,0,0.088893894
HAT-P-13 b,270.47163,2.91625,,214,1.22,1.56,5653,0.042679344,1222.7384,1506.4818,2.2266594,0,0,0,0.064111452
HAT-P-13 c,4538.5839,446.27,,214,1.22,1.56,5653,1.4881528,1.9919849,272.95182,2.2266594,1,0,0,0.35550128
