P_NAME,P_MASS,P_PERIOD,P_SEMI_MAJOR_AXIS,S_DISTANCE,S_MASS,S_RADIUS,S_TEMPERATURE,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,S_LUMINOSITY,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
OGLE-2017-BLG-0482L b,9.000889,,1.8,5800,0.2,,,1.8,,,,0,0,0,
OGLE-2017-BLG-1140L b,505.34652,,1.02,,0.21,,,1.02,,,,0,0,0,
OGLE-2017-BLG-1434L b,4.449592,,1.18,860,0.23,,,1.18,,,,0,0,0,
OGLE-2017-BLG-1522L b,238.371,,0.59,,0.04,,,0.59,,,,0,0,0,
OGLE-2018-BLG-0596L b,13.930401,,0.97,5650,0.23,,,0.97,,,,0,0,0,
OGLE-TR-056 b,441.78092,1.2119189,0.02383,282.84,,,6050,0.02383,,,,0,0,0,
OGLE-TR-10 b,197.05336,3.101278,0.0434,1386.23,1.14,1.17,5950,0.0434,816.11014,1361.7021,1.5371924,0,0,0,0.065544494
OGLE-TR-111 b,,4.0144463,0.0473,1096.98,0.85,0.83,5040,0.0473,178.01012,930.58508,0.39826026,0,0,0,0.083017351
OGLE-TR-113 b,400.46328,1.4324752,0.02289,600,0.78,0.77,4790,0.02289,533.72871,1224.5459,0.27964828,0,0,0,0.074397614
OGLE-TR-132 b,375.03704,1.689868,0.03035,2500,1.3,1.32,6210,0.03035,2520.4931,1805.1624,2.3216829,0,0,0,0.067051056
OGLE-TR-182 b,321.00628,3.9791,0.051,2669.56,1.14,1.14,5924,0.051,551.33834,1234.5238,1.434031,0,0,0,0.072229665
OGLE-TR-211 b,327.36284,3.67724,0.051,1574.54,1.33,1.64,6325,0.051,1482.7847,1580.9365,3.8567231,0,0,0,0.060254937
OGLE2-TR-L9 b,1430.226,2.4855335,0.0308,1704.36,1.52,1.53,6933,0.0308,5108.0469,2153.8161,4.8456976,0,0,0,0.051251637
Oph 11 b,4449.592,7300000,243,125,0.02,,2375,243,1.49E-08,2.8124512,0.000876946,0,0,0,0.072357864
PDS 70 b,2542.624,43500,22,113.43,0.76,1.26,3972,22,0.000731512,41.898671,0.35405171,0,0,0,0.062792191
PDS 70 c,3333.8537,,34.5,113.43,0.76,1.26,3972,34.5,0.00029746,33.458159,0.35405171,0,0,0,0.071871095
PH1 b,168.76667,138.317,0.652,1000,1.53,1.73,6407,0.65360654,10.655585,459.87213,4.5185568,0,0,0,0.22328764
